ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Type,MaterialSoleRubber,MaterialSolePolyester,MaterialSoleTextile,MaterialSoleThermoplasticPolyurethane,MaterialSoleLeather,MaterialSoleOther,MaterialUpperRubber,MaterialUpperPolyester,MaterialUpperTextile,MaterialUpperThermoplasticPolyurethane,MaterialUpperLeather,MaterialUpperOther,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
118795255,New Balance 725 trainers in oatmeal - exclusive to ASOS,1,Women,New Balance,610,OATMEAL,"Exclusive to ASOS , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , C-CAP midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.7,29,115.557,288.896,308.156
109518343,New Balance 725 trainers in grey and aqua green,1,Women,New Balance,404.1,GREY,"Next stop: checkout , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , C-CAP midsole provides lightweight cushioning and added support , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4,4,160.5,221.49,240.75
104600872,New Balance 327 trainers in off white and burgundy,2,Women,New Balance,610,OFF WHITE/BURGUNDY,"This item is excluded from promo , Colour-block design , Low-profile style , Lace-up fastening  , Padded tongue and cuff , Signature New Balance branding  , Durable rubber outsole , Moulded tread",Trainers,0,0,0,0,0,100,0,0,0,0,0,100,4.6,63,157.286,292.109,276.057
104600882,New Balance 327 trainers in off white/navy,2,Women,New Balance,610,OFF WHITE/NAVY,"This item is excluded from promo , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,100,4.7,43,163.708,282.479,285.688
109518352,New Balance 327 trainers in off white and pink,2,Women,New Balance,500,OFF WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,98,128.396,288.896,292.109
109505334,New Balance 327 trainers in off white,2,Women,New Balance,525,WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.8,37,150.87,308.156,304.948
116709773,New Balance 327 trainers in off white and pink,2,Women,New Balance,525,WHITE/PINK,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.9,17,163.708,288.896,301.74
116709781,New Balance 327 trainers in off white,2,Women,New Balance,555,WHITE/WHITE,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,3.7,30,125.188,276.057,256.797
118795257,New Balance 327 trainers in off white and burgundy - exclusive to ASOS,2,Women,New Balance,610,OFF WHITE/BURGUNDY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.9,15,176.547,304.948,314.578
118795252,New Balance 327 trainers in white and grey - exclusive to ASOS,2,Women,New Balance,580,WHITE/GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile style , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.1,19,128.396,282.479,243.958
118795253,New Balance 327 trainers in off white and yellow - Exclusive to ASOS,2,Women,New Balance,525,OFF WHITE/YELLOW,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.8,53,166.917,285.688,292.109
118795261,New Balance 327 trainers in grey - exclusive to ASOS,2,Women,New Balance,610,GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.6,42,138.026,285.688,285.688
121898764,New Balance 327 trainers in cream,2,Women,New Balance,610,CREAM,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread","Shoes,",100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
121863343,New Balance 530 trainers in white and silver,3,Women,New Balance,525,WHITE/SILVER,"New kicks for your 'fit , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Shoes,100,0,0,0,0,0,0,0,100,0,0,0,4.2,5,141.24,321,301.74
1637761,New Balance 530 trainers in white silver and blue,3,Women,New Balance,525,White,"This item is excluded from promo , Lace-up fastening  , Branded tongue and cuff , Padded for comfort , ABZORB® midsole provides lightweight cushioning , Chunky sole , Moulded tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.7,111,163.708,295.318,292.109
1805478,New Balance 530 metallic trainers in white,3,Women,New Balance,525,Munsell white,"This item is excluded from promo , Pull tab for easy entry , Low-profile design , Lace-up fastening , Padded tongue and cuff  , Signature New Balance branding  , ABZORB midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread , Box shows US to be size and a half smaller and European size to be half a size smaller , Please order your normal size",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,139,160.5,288.896,285.688
109518354,New Balance 530 trainers in white and pastel pink,3,Women,New Balance,525,WHITE,"Next stop: checkout , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.5,27,157.286,311.37,292.109
116709757,New Balance 530 trainers in navy and silver,3,Women,New Balance,525,,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Lace-up fastening , Branded tongue and cuff , Signature New Balance branding , ABZORB® midsole provides lightweight cushioning , Chunky sole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
116709756,New Balance 530 trainers in cream and silver,3,Women,New Balance,525,,"New-season MVPs , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
116709752,New Balance 530 trainers in beige and silver - exclusive to ASOS,3,Women,New Balance,525,BEIGE/SILVER,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.5,40,157.286,282.479,285.688
116709759,New Balance 530 trainers in white and black,3,Women,New Balance,525,WHITE/BLACK,"New kicks for your 'fit , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Perforated for ventilation , ABZORB® midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.6,7,195.807,276.057,240.75
