,ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Sole,Upper,Type,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
0,118795255,New Balance 725 trainers,1,Women,new balance,610.0,oatmeal,8,Rubber Other,LeatherOther,trainers,5,29,115.557,288.896,308.156
1,109518343,New Balance 725 trainers,1,Women,new balance,404.1,grey,8,Rubber Other,LeatherOther,trainers,4,4,160.5,221.49,240.75
2,104600872,New Balance 327 trainers,2,Women,new balance,610.0,off white/burgundy,8,Other,Other,trainers,5,63,157.286,292.109,276.057
3,104600882,New Balance 327 trainers,2,Women,new balance,610.0,off white/navy,7,Rubber Other,Other,trainers,5,43,163.708,282.479,285.688
4,109518352,New Balance 327 trainers,2,Women,new balance,500.0,off white,8,Other,Textile Other,trainers,5,98,128.396,288.896,292.109
5,109505334,New Balance 327 trainers,2,Women,new balance,525.0,white,8,Other,Textile Other,trainers,5,37,150.87,308.156,304.948
6,116709773,New Balance 327 trainers,2,Women,new balance,525.0,white/pink,7,Rubber Other,Other,trainers,5,17,163.708,288.896,301.74
7,116709781,New Balance 327 trainers,2,Women,new balance,555.0,white/white,7,Rubber Other,Other,trainers,4,30,125.188,276.057,256.797
8,118795257,New Balance 327 trainers,2,Women,new balance,610.0,off white/burgundy,8,Rubber Other,LeatherOther,trainers,5,15,176.547,304.948,314.578
9,118795252,New Balance 327 trainers,2,Women,new balance,580.0,white/grey,8,Rubber Other,Other,trainers,4,19,128.396,282.479,243.958
10,118795253,New Balance 327 trainers,2,Women,new balance,525.0,off white/yellow,7,Rubber Other,Other,trainers,5,53,166.917,285.688,292.109
11,118795261,New Balance 327 trainers,2,Women,new balance,610.0,grey,8,Rubber Other,Other,trainers,5,42,138.026,285.688,285.688
12,121863343,New Balance 530 trainers,3,Women,new balance,525.0,white/silver,8,Rubber Other,Textile Other,shoe,4,5,141.24,321.0,301.74
13,1637761,New Balance 530 trainers,3,Women,new balance,525.0,white,7,Other,Textile Other,trainers,5,111,163.708,295.318,292.109
14,1805478,New Balance 530 metallic trainers,3,Women,new balance,525.0,munsell white,11,Other,Textile Other,trainers,5,139,160.5,288.896,285.688
15,109518354,New Balance 530 trainers,3,Women,new balance,525.0,white,9,Other,Textile Other,trainers,5,27,157.286,311.37,292.109
